province_sk,province_name,region,year_month,year,month,total_posts,total_comments,total_hotel_reviews,unique_authors,comments_per_post,post_frequency,avg_likes_per_post,avg_saves_per_post,avg_shares_per_post,median_likes_per_post,p90_likes_per_post,viral_post_ratio,engagement_score,avg_sentiment,sentiment_std,positive_ratio,negative_ratio,sentiment_polarity,avg_word_count,word_count_std,avg_unique_word_ratio,emoji_sentiment_ratio,reply_ratio,avg_aspect_scenery,avg_aspect_food,avg_aspect_price,avg_aspect_service,avg_aspect_transport,avg_aspect_accommodation,avg_hotel_score,hotel_score_std,hotel_review_volume,high_score_ratio,low_score_ratio,unique_reviewer_countries,domestic_review_ratio,couple_ratio,family_ratio,business_ratio,solo_ratio,hotel_vol_growth,social_to_booking_ratio,sentiment_polarity_change,hotel_vol_std_rolling_3m,month_sin,month_cos,is_peak_season,hotness_score,hotness_lag_1,hotness_lag_2,hotness_lag_3,hotness_lag_12,hotness_rolling_3m,hotness_momentum,hotel_vol_lag_1,hotel_vol_lag_2,hotel_vol_lag_3,hotel_vol_lag_12,hotel_vol_rolling_3m,hotel_vol_momentum,created_at,updated_at
1,An Giang,Mekong_Delta,202304,2023,4,1,76,35,1,76.0,0.03333333333333333,2680.0,463.0,0.0,2680.0,2680.0,0.0,3228,0.5807210526315791,0.2020153620005432,0.2631578947368421,0.09210526315789473,0.17105263157894735,7.2105263157894735,5.4755597326634,0.984803947368421,0.18859649122807015,0.4605263157894737,0.6690137502175669,-0.09945009945009924,-0.18995287694100058,0.0,-0.02560450689960734,0.8191281839666879,8.371428571428572,1.9865091208939765,35,0.9714285714285714,0.02857142857142857,9,0.0,0.37142857142857144,0.34285714285714286,0.2,0.08571428571428572,0.0,2.111111111111111,0.0,0.0,0.8660254037844387,-0.4999999999999998,true,0.299375,,,,,,,,,,,,,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202308,2023,8,1,0,73,1,0.0,0.03225806451612903,40200.0,6207.0,38300.0,40200.0,40200.0,0.0,85661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.342465753424657,1.7177114788302859,73,1.0,0.0,14,0.0,0.3698630136986301,0.3150684931506849,0.1643835616438356,0.1506849315068493,1.0857142857142856,0.0,-0.17105263157894735,0.0,-0.8660254037844384,-0.5000000000000004,true,0.30243421052631575,0.299375,,,,0.299375,,35,,,,35.0,,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202311,2023,11,1,19,97,1,19.0,0.03333333333333333,372.0,171.0,0.0,372.0,372.0,0.0,562,0.7431631578947369,0.20220818263069135,0.631578947368421,0.0,0.631578947368421,6.684210526315789,11.911957724996562,0.9871105263157894,0.2631578947368421,0.10526315789473684,0.8710952201731278,0.39764585465711344,0.07781866845098685,0.0,0.41098169717138117,0.8948412698412698,8.103092783505154,1.9390963105834151,97,0.9690721649484536,0.020618556701030927,17,0.0,0.44329896907216493,0.16494845360824742,0.20618556701030927,0.18556701030927836,0.3287671232876712,0.19387755102040816,0.631578947368421,26.870057685088806,-0.5000000000000004,0.8660254037844384,false,0.4563690476190476,0.30243421052631575,0.299375,,,0.3009046052631579,,73,35,,,54.0,,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202312,2023,12,2,207,122,2,103.5,0.06451612903225806,3831.0,530.5,0.0,2874.0,4788.0,0.0,9097,0.6640357487922701,0.24986600987444718,0.5024154589371981,0.10628019323671498,0.3961352657004831,6.855072463768116,5.4406114795510385,0.9864492753623191,0.2971014492753623,0.4444444444444444,0.8417548668007888,0.01953607338154854,-0.20383480291865114,-0.1761250000000003,0.09222396833711638,0.937603638603308,8.524590163934427,1.5492633000219862,122,0.9836065573770492,0.00819672131147541,20,0.0,0.5409836065573771,0.18032786885245902,0.13114754098360656,0.14754098360655737,0.25773195876288657,1.6829268292682926,-0.23544368166793794,31.26233090051561,-2.4492935982947064E-16,1.0,true,0.6228947368421053,0.4563690476190476,0.30243421052631575,0.299375,,0.35272608604845446,0.15699404761904762,97,73,35,,68.33333333333333,62,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202402,2024,2,1,259,191,1,259.0,0.034482758620689655,79700.0,1661.0,0.0,79700.0,79700.0,0.0,82975,0.6345243243243245,0.2389810222165713,0.5405405405405406,0.14285714285714285,0.3976833976833977,8.019305019305019,7.05485249322594,0.9819702702702702,0.38559059987631417,0.2625482625482625,0.7778946594320826,-0.027317572598659388,-0.20139201842671836,-0.14828227464030608,0.014155462501479924,0.9193434592677889,8.392670157068062,1.764488502326256,191,0.9738219895287958,0.020942408376963352,22,0.0,0.450261780104712,0.2931937172774869,0.10471204188481675,0.1518324607329843,0.5655737704918032,1.3489583333333333,0.0015481319829146467,24.5017006212494,0.8660254037844386,0.5000000000000001,false,0.6355232558139534,0.6228947368421053,0.4563690476190476,0.30243421052631575,,0.4605659983291563,0.32046052631578953,122,97,73,,97.33333333333333,49,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202408,2024,8,1,504,112,1,504.0,0.03225806451612903,33400.0,11900.0,0.0,33400.0,33400.0,0.0,46786,0.574729365079365,0.20770302073360042,0.35119047619047616,0.12698412698412698,0.2242063492063492,5.920634920634921,5.793467459340407,0.982250992063492,0.15300925925925923,0.3253968253968254,0.5410172994058832,-0.2645799134457544,-0.34522110209058166,-0.27713799319046795,-0.15254681157522687,0.8001159840521932,8.767857142857142,1.420456358955201,112,1.0,0.0,16,0.0,0.3125,0.3482142857142857,0.20535714285714285,0.13392857142857142,-0.41361256544502617,4.460176991150442,-0.17347704847704853,48.6860691916418,-0.8660254037844384,-0.5000000000000004,true,0.4863586956521739,0.6355232558139534,0.6228947368421053,0.4563690476190476,,0.5715956800917021,0.1791542081949058,191,122,97,,136.66666666666666,94,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202410,2024,10,1,344,84,1,344.0,0.03225806451612903,29700.0,1842.0,95.0,29700.0,29700.0,0.0,32009,0.6822412790697672,0.21788244278546393,0.6191860465116279,0.06686046511627906,0.5523255813953488,5.2645348837209305,5.271886857348176,0.9942738372093023,0.33187984496124034,0.1569767441860465,0.8691272662416577,0.08764000093920997,-0.13977920641183333,-0.13157088904766945,0.11645383418253169,0.9490505341605783,8.964285714285714,1.4516001023501122,84,0.9880952380952381,0.0,17,0.0,0.42857142857142855,0.23809523809523808,0.20238095238095238,0.13095238095238096,-0.25,4.047058823529412,0.32811923218899963,43.015501081974314,-0.8660254037844386,0.5000000000000001,false,0.6575,0.4863586956521739,0.6355232558139534,0.6228947368421053,,0.5815922294360776,-0.1365360411899314,112,191,122,,141.66666666666666,-10,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202411,2024,11,3,177,150,2,59.0,0.1,3687.3333333333335,656.6666666666666,50399.666666666664,1287.0,9481.0,0.0,164594,0.69095197740113,0.21145909127535636,0.5084745762711864,0.03389830508474576,0.47457627118644063,5.129943502824859,5.416730867621583,0.9912807909604522,0.2749529190207156,0.3672316384180791,0.9003198236452667,0.19736387307878453,-0.033440414908850906,0.0,0.21165565526082278,0.9525609110688597,8.773333333333333,1.3813069711493753,150,1.0,0.0,22,0.0,0.5466666666666666,0.13333333333333333,0.14666666666666667,0.17333333333333334,0.7857142857142857,1.1721854304635762,-0.07774931020890818,55.48873759602033,-0.5000000000000004,0.8660254037844384,false,0.6427127659574468,0.6575,0.4863586956521739,0.6355232558139534,,0.5931273171553758,0.02197674418604656,84,112,191,,129.0,-107,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202412,2024,12,2,108,151,2,54.0,0.06451612903225806,18009.5,2057.0,0.0,2519.0,33500.0,0.0,41009,0.7116694444444447,0.2069060879832884,0.6296296296296297,0.046296296296296294,0.5833333333333334,4.472222222222222,4.2414473224841664,0.9887620370370371,0.4598765432098766,0.2962962962962963,0.8772732926980966,0.11584206405428599,-0.05163193453230599,0.0,0.15822210703641287,0.9422967419715564,8.721854304635762,1.322416678647347,151,0.9933774834437086,0.0,27,0.0,0.48344370860927155,0.2052980132450331,0.11258278145695365,0.1986754966887417,0.006666666666666667,0.7105263157894737,0.10875706214689274,33.12602199681292,-2.4492935982947064E-16,1.0,true,0.6191666666666666,0.6427127659574468,0.6575,0.4863586956521739,,0.5955238205365402,0.15635407030527287,150,84,112,,115.33333333333333,38,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
1,An Giang,Mekong_Delta,202501,2025,1,2,182,203,2,91.0,0.06451612903225806,8415.5,1697.5,0.0,7099.0,9732.0,0.0,20517,0.665660989010989,0.18260991018688982,0.554945054945055,0.027472527472527472,0.5274725274725275,4.368131868131868,6.56642016922983,0.9886219780219779,0.315018315018315,0.1043956043956044,0.7155432573825072,-0.085702275235142,-0.213424760946149,-0.18764752163650816,-0.0023122122992721874,0.8673785525446134,8.620689655172415,1.619486997750384,203,0.9852216748768473,0.0049261083743842365,30,0.0,0.4630541871921182,0.22660098522167488,0.17733990147783252,0.1330049261083744,0.3443708609271523,0.8921568627450981,-0.055860805860805884,38.397048497681865,0.49999999999999994,0.8660254037844387,true,0.5408163265306123,0.6191666666666666,0.6427127659574468,0.6575,,0.6397931442080378,-0.03833333333333333,151,150,84,,128.33333333333334,67,2026-07-07T07:35:08.515,2026-07-07T07:35:08.515
